priority_rank,game_name,game_url,canonical_game_key,missing_rank_rows,best_missing_rank,first_missing_rank_date,last_missing_rank_date,first_observed_play_count_date,first_observed_play_count_source,page_gap_status,metrics_status,exact_metrics_endpoint_count,exact_metrics_cdx_rows,exact_metrics_cached_endpoint_count,exact_metrics_missing_cache_count,exact_metrics_first_cdx_date,exact_metrics_last_cdx_date,exact_metrics_cdx_rows_in_missing_window,exact_metrics_sampled_rows_in_missing_window,exact_metrics_parsed_rows,exact_metrics_first_parsed_date,exact_metrics_first_parsed_plays,exact_metrics_gap_status,side_endpoint_observations,side_endpoint_cdx_hit_observations,side_endpoint_rows_in_missing_window,side_endpoint_parsed_rows,developer_list_observations,developer_list_rows_in_missing_window,recommended_next_action
1841,Zombies vs Brains,http://www.kongregate.com/games/SilenGames/zombies-vs-brains,www.kongregate.com/games/silengames/zombies-vs-brains,1,16,2016-06-29,2016-06-29,2020-11-25,metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1842,RPS Multiplayer,http://www.kongregate.com/games/OriginalNameOP/rps-multiplayer,www.kongregate.com/games/originalnameop/rps-multiplayer,1,16,2016-07-07,2016-07-07,2023-09-21,metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1843,Ball Chase 4,http://www.kongregate.com/games/gamer70008000/ball-chase-4,www.kongregate.com/games/gamer70008000/ball-chase-4,1,16,2016-07-14,2016-07-14,2026-06-30,live_metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1844,That Pokeyman Thing Your Grandkids Are Into,http://www.kongregate.com/games/claedalus/that-pokeyman-thing-your-grandkids-are-into,www.kongregate.com/games/claedalus/that-pokeyman-thing-your-grandkids-are-into,1,16,2016-08-13,2016-08-13,2024-01-20,metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1845,Fufu's Nightmare,http://www.kongregate.com/games/psyopticgames/fufus-nightmare,www.kongregate.com/games/psyopticgames/fufus-nightmare,1,16,2016-08-20,2016-08-20,2026-06-30,live_metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1846,The Magical Forest,http://www.kongregate.com/games/esthetix/the-magical-forest,www.kongregate.com/games/esthetix/the-magical-forest,1,16,2016-08-28,2016-08-28,2026-06-30,live_metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1847,food,http://www.kongregate.com/games/solomanolo/food,www.kongregate.com/games/solomanolo/food,1,16,2016-09-03,2016-09-03,2021-07-29,metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1848,Nations At War,http://www.kongregate.com/games/Boxingwolf/nations-at-war,www.kongregate.com/games/boxingwolf/nations-at-war,1,16,2016-09-16,2016-09-16,2026-06-30,live_metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1849,Ping-Pong-Special,http://www.kongregate.com/games/LostRaiderTV/ping-pong-special,www.kongregate.com/games/lostraidertv/ping-pong-special,1,16,2016-09-17,2016-09-17,2026-06-30,live_metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1850,Giga Sun Class Game 03,http://www.kongregate.com/games/gigasun/giga-sun-class-game-03,www.kongregate.com/games/gigasun/giga-sun-class-game-03,1,16,2016-09-23,2016-09-23,2026-06-30,live_metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
