canonical_game_key,game_name,developer,game_url,kongregate_game_ids,best_rank,top_n_appearances,ranking_types,observed_categories,category_tags,platform_flags,facebook_social_candidate,classification_confidence,classification_signals,first_observed_date,first_observed_source,first_ranked_date,first_play_history_date,first_live_metric_date,likely_added_date,likely_added_date_confidence,last_observed_date,last_observed_source,last_ranked_date,last_play_history_date,last_live_metric_date,current_live_metric_status,latest_live_metric_attempt_date,removal_evidence_status,removal_evidence_type,observed_removed_after_date,observed_removed_by_date,removal_confidence,metrics_rows,listing_play_count_rows,max_play_count_observed,page_gap_status,metrics_audit_status,count_source_probe_status,notes
www.kongregate.com/games/lionel_ict/ss17-swallala-elena,SS17 Swallala Elena,lionel_ict,http://www.kongregate.com/games/lionel_ict/ss17-swallala-elena,283551,2,1,newest,,,,no,,,2017-09-13,ranked_list,2017-09-13,2026-06-29,2026-06-29,2017-09-13,observed_first_seen_not_launch_date,2026-06-29,live_metrics_json,2017-09-13,2026-06-29,2026-06-29,live_metrics_available,2026-06-29,live_metrics_available,,,,high_for_metrics_endpoint,1,0,319,,has_metrics,no_archived_endpoint_rows_observed,"Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/123bee/stationery-shop-escape,Stationery Shop Escape,123bee,http://www.kongregate.com/games/123bee/stationery-shop-escape,,2,1,newest,,escape_room,,no,low,name_or_category:escape_room,2011-03-08,ranked_list,2011-03-08,2026-06-29,2026-06-29,2011-03-08,observed_first_seen_not_launch_date,2026-06-29,live_metrics_json,2011-03-08,2026-06-29,2026-06-29,live_metrics_available,2026-06-29,live_metrics_available,,,,high_for_metrics_endpoint,1,1,1903,,has_metrics,,"Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/playman2/stormfall,StormFall,playman2,http://www.kongregate.com/games/playman2/stormfall,219314,2,1,newest,,,,no,,,2014-09-05,ranked_list,2014-09-05,,,2014-09-05,observed_first_seen_not_launch_date,2014-09-05,ranked_list,2014-09-05,,,live_metrics_failed_http_404,2026-07-01,live_metrics_unavailable,http_404,2014-09-05,2026-07-01,low_game_page_not_verified,0,0,0,no_page_cdx_rows,no_cdx,no_archived_endpoint_rows_observed,"Live metrics endpoint failure is removal evidence only for the metrics endpoint; game-page availability needs direct verification. Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/quizze/super-ball,Super Ball,,http://www.kongregate.com/games/Quizze/super-ball,213881,2,1,newest,,,,no,,,2014-07-04,ranked_list,2014-07-04,2026-06-30,2026-06-30,2014-07-04,observed_first_seen_not_launch_date,2026-06-30,live_metrics_json,2014-07-04,2026-06-30,2026-06-30,live_metrics_available,2026-06-30,live_metrics_available,,,,high_for_metrics_endpoint,1,1,238,,has_metrics,,"Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/ghost375/supra-mayro-bross-lergend-of-the-mayro,Supra Mayro Bross Lergend of the Mayro,,http://www.kongregate.com/games/ghost375/supra-mayro-bross-lergend-of-the-mayro,217582,2,1,newest,,,,no,,,2014-08-16,ranked_list,2014-08-16,2023-11-08,,2014-08-16,observed_first_seen_not_launch_date,2024-02-23,metrics_json,2014-08-16,2024-02-23,,not_checked,,no_removal_evidence,,,,,3,1,16521,,has_metrics,,"Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/games2rule/swappers-halle-berry,Swappers-Halle Berry,games2rule,http://www.kongregate.com/games/games2rule/swappers-halle-berry,,2,1,newest,,,,no,,,2011-03-19,ranked_list,2011-03-19,2026-06-29,2026-06-29,2011-03-19,observed_first_seen_not_launch_date,2026-06-29,live_metrics_json,2011-03-19,2026-06-29,2026-06-29,live_metrics_available,2026-06-29,live_metrics_available,,,,high_for_metrics_endpoint,1,1,704,,has_metrics,,"Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/digmdrexel/switch-blade,Switch Blade,digmDrexel,http://www.kongregate.com/games/digmDrexel/switch-blade,,2,1,newest,,,,no,,,2011-04-12,ranked_list,2011-04-12,2026-06-29,2026-06-29,2011-04-12,observed_first_seen_not_launch_date,2026-06-29,live_metrics_json,2011-04-12,2026-06-29,2026-06-29,live_metrics_available,2026-06-29,live_metrics_available,,,,high_for_metrics_endpoint,1,1,1941,,has_metrics,,"Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/cinder000/swords-and-stuff-invinsible,swords and stuff(invin...,cinder000,http://www.kongregate.com/games/cinder000/swords-and-stuff-invinsible,,2,1,newest,,,,no,,,2011-07-10,ranked_list,2011-07-10,2026-06-30,2026-06-30,2011-07-10,observed_first_seen_not_launch_date,2026-06-30,live_metrics_json,2011-07-10,2026-06-30,2026-06-30,live_metrics_available,2026-06-30,live_metrics_available,,,,high_for_metrics_endpoint,1,1,998,,has_metrics,,"Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/leonylyner/swordz-io,Swordz.io,Leonylyner,http://www.kongregate.com/games/Leonylyner/swordz-io,285186,2,1,newest,,,,no,,,2017-08-23,ranked_list,2017-08-23,2026-06-29,2026-06-29,2017-08-23,observed_first_seen_not_launch_date,2026-06-29,live_metrics_json,2017-08-23,2026-06-29,2026-06-29,live_metrics_available,2026-06-29,live_metrics_available,,,,high_for_metrics_endpoint,1,0,104,,has_metrics,no_archived_endpoint_rows_observed,"Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/wowsomegames/talking-ginger-paw-caring,Talking Ginger Paw Caring,wowsomegames,http://www.kongregate.com/games/wowsomegames/talking-ginger-paw-caring,218739,2,1,newest,,,,no,,,2014-08-29,ranked_list,2014-08-29,,,2014-08-29,observed_first_seen_not_launch_date,2014-08-29,ranked_list,2014-08-29,,,live_metrics_failed_http_404,2026-07-01,live_metrics_unavailable,http_404,2014-08-29,2026-07-01,low_game_page_not_verified,0,0,0,no_page_cdx_rows,no_cdx,archived_endpoint_hit_no_count,"Live metrics endpoint failure is removal evidence only for the metrics endpoint; game-page availability needs direct verification. Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/fudo2010/terrace-multiplayer,Terrace Multiplayer,fudo2010,http://www.kongregate.com/games/fudo2010/terrace-multiplayer,,2,1,newest,,mmo_multiplayer,,no,low,name_or_category:mmo_multiplayer,2011-01-11,ranked_list,2011-01-11,2026-06-29,2026-06-29,2011-01-11,observed_first_seen_not_launch_date,2026-06-29,live_metrics_json,2011-01-11,2026-06-29,2026-06-29,live_metrics_available,2026-06-29,live_metrics_available,,,,high_for_metrics_endpoint,1,1,1133,,has_metrics,,"Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
