canonical_game_key,game_name,developer,game_url,best_rank,top_n_appearances,first_observed_date,likely_added_date,observed_categories,primary_genre,genre_tags,genre_confidence,engagement_tags,engagement_confidence,social_platform_status,social_platform_confidence,social_platform_signals,developer_group_key,developer_catalog_game_count,series_group_key,series_catalog_game_count,classification_confidence,classification_signals,review_status,taxonomy_version
www.kongregate.com/games/suttree/time-to-type,Time To Type,suttree,http://www.kongregate.com/games/suttree/time-to-type,8,8,2011-08-11,2011-08-11,,unclassified,,none,,none,not_assessed,none,,suttree,2,,0,none,,ready,1.0.0
www.kongregate.com/games/bluemanchu/card-hunter,Card Hunter,BlueManchu,http://www.kongregate.com/games/BlueManchu/card-hunter,8,7,2014-12-29,2014-12-29,strategy,strategy,strategy,high_observed_category,,none,not_assessed,none,,bluemanchu,1,,0,high,observed_category:strategy,ready,1.0.0
www.kongregate.com/games/rudy_sudarto/epic-war-3,Epic War 3,rudy_sudarto,http://www.kongregate.com/games/rudy_sudarto/epic-war-3,8,5,2009-12-09,2009-12-09,tower-defense,tower_defense,tower_defense,high_observed_category,,none,not_assessed,none,,rudy-sudarto,1,,0,high,observed_category:tower_defense,ready,1.0.0
www.kongregate.com/games/mmx95/reach-the-core,Reach the core,mmx95,https://www.kongregate.com/games/mmx95/reach-the-core,8,5,2016-04-14,2015-12-30,action,action,action,high_observed_category,,none,not_assessed,none,,mmx95,2,,0,high,observed_category:action,ready,1.0.0
www.kongregate.com/games/iurii1/shoot-sow,Shoot & Sow,Iurii1,https://www.kongregate.com/games/Iurii1/shoot-sow,8,5,2023-12-04,2023-12-04,shooter,shooter,shooter,high_observed_category,,none,not_assessed,none,,iurii1,1,,0,high,observed_category:shooter,ready,1.0.0
www.kongregate.com/games/shinezone/thekingoftowers,The King of Towers,Shinezone,http://www.kongregate.com/games/Shinezone/thekingoftowers,8,5,2015-01-03,2015-01-03,,unclassified,,none,,none,not_assessed,none,,shinezone,1,,0,none,,ready,1.0.0
www.kongregate.com/games/sciencemuseum/transmission,Transmission,ScienceMuseum,http://www.kongregate.com/games/ScienceMuseum/transmission,8,5,2014-11-01,2014-11-01,puzzle,puzzle,puzzle,high_observed_category,,none,not_assessed,none,,sciencemuseum,1,,0,high,observed_category:puzzle,ready,1.0.0
www.kongregate.com/games/limex/cargo-bridge-armor-games-edition,Cargo Bridge: Armor Ga...,limex,http://www.kongregate.com/games/limex/cargo-bridge-armor-games-edition,8,4,2010-09-26,2010-09-26,puzzle,puzzle,puzzle,high_observed_category,,none,not_assessed,none,,limex,1,,0,high,observed_category:puzzle,ready,1.0.0
www.kongregate.com/games/onemorelevel/free-rider-2,Free Rider 2,,https://www.kongregate.com/en/games/onemorelevel/free-rider-2,8,4,2026-07-01,2008-01-22,sports-racing,sports_racing,sports_racing,high_observed_category,,none,not_assessed,none,,unknown,252,,0,high,observed_category:sports_racing,ready,1.0.0
www.kongregate.com/games/nivalpublishing/kings-bounty-legions,King's Bounty: Legions,NivalPublishing,http://www.kongregate.com/games/NivalPublishing/kings-bounty-legions,8,4,2012-05-03,2012-05-03,,unclassified,,none,,none,not_assessed,none,,nivalpublishing,2,,0,none,,ready,1.0.0
www.kongregate.com/games/chezedude/milky-way-idle,Milky Way Idle,,https://www.kongregate.com/en/games/chezedude/milky-way-idle,8,4,2026-07-01,2024-07-05,mmo,role_playing,role_playing,high_observed_category,massively_multiplayer,high_observed_category,not_assessed,none,,unknown,252,,0,high,observed_category:role_playing; observed_category:mmo,ready,1.0.0
www.kongregate.com/games/bigfootgames/the-golden-caravan,The Golden Caravan,,https://www.kongregate.com/en/games/bigfootgames/the-golden-caravan,8,4,2026-07-01,2026-04-27,strategy-defense,strategy,strategy,high_observed_category,,none,not_assessed,none,,unknown,252,,0,high,observed_category:strategy,ready,1.0.0
www.kongregate.com/games/joao8991/computer-evolution,Computer Evolution,joao8991,http://www.kongregate.com/games/joao8991/computer-evolution,8,3,2017-03-11,2017-03-11,,unclassified,,none,,none,not_assessed,none,,joao8991,2,,0,none,,ready,1.0.0
www.kongregate.com/games/towardsmars/dungeon-crusher-soul-hunters,Dungeon Crusher: Soul Hunters,towardsmars,https://www.kongregate.com/games/towardsmars/dungeon-crusher-soul-hunters,8,3,2020-07-25,2020-07-25,,unclassified,,none,,none,not_assessed,none,,towardsmars,1,,0,none,,ready,1.0.0
www.kongregate.com/games/lollygaggames/squid-ink,Squid Ink,LollygagGames,http://www.kongregate.com/games/LollygagGames/squid-ink,8,3,2017-11-01,2017-06-22,,unclassified,,none,,none,not_assessed,none,,lollygaggames,1,,0,none,,ready,1.0.0
www.kongregate.com/games/tonyrecchia/wasd,WASD,tonyrecchia,https://www.kongregate.com/games/tonyrecchia/wasd,8,3,2018-10-04,2018-10-04,action,action,action,high_observed_category,,none,not_assessed,none,,tonyrecchia,1,,0,high,observed_category:action,ready,1.0.0
www.kongregate.com/games/armorgames/chuck-the-sheep,Chuck the Sheep,ArmorGames,http://www.kongregate.com/games/ArmorGames/chuck-the-sheep,8,2,2012-02-11,2012-02-11,,unclassified,,none,,none,not_assessed,none,,armorgames,22,,0,none,,ready,1.0.0
www.kongregate.com/games/pitforest/idle-raiders-second-run,Idle Raiders: Second Run,pitforest,http://www.kongregate.com/games/pitforest/idle-raiders-second-run,8,2,2017-04-01,2016-09-07,,idle_incremental,idle_incremental,medium_title_signal,,none,not_assessed,none,,pitforest,1,,0,medium,title_signal:idle_incremental,review_title_inference,1.0.0
www.kongregate.com/games/aimia/lederoid,Lederoid,Aimia,http://www.kongregate.com/games/Aimia/lederoid,8,2,2014-09-19,2014-09-19,,unclassified,,none,,none,not_assessed,none,,aimia,1,,0,none,,ready,1.0.0
www.kongregate.com/games/helpimadeagame/rogue-legend-tame-the-wild,Rogue Legend: Tame the Wild,HelpIMadeAGame,http://www.kongregate.com/games/HelpIMadeAGame/rogue-legend-tame-the-wild,8,2,2014-10-31,2014-10-31,,unclassified,,none,,none,not_assessed,none,,helpimadeagame,1,,0,none,,ready,1.0.0
www.kongregate.com/games/sandrakim/the-unexplained-disappearance,The Unexplained Disappearance,SandraKim,http://www.kongregate.com/games/SandraKim/the-unexplained-disappearance,8,2,2014-10-17,2014-10-17,,unclassified,,none,,none,not_assessed,none,,sandrakim,31,,0,none,,ready,1.0.0
