status,followup_tier,game_name,game_url,canonical_game_key,best_rank,first_seen_date,endpoint_observations,candidates_with_cdx_rows,failed_observations,unresolved_failed_endpoints,parsed_probe_count_rows,recovered_count_rows,source_types_seen,latest_probe_run_timestamp
no_archived_endpoint_rows_observed,,Far Away Home - Alpha gameplay planet Sidon,http://www.kongregate.com/games/MiniLimoStudio/far-away-home-alpha-gameplay-planet-sidon,www.kongregate.com/games/minilimostudio/far-away-home-alpha-gameplay-planet-sidon,,,4,0,1,0,0,0,metrics_json,2026-07-03T20:29:13Z
recovered_count,,Faraway: Puzzle Escape,http://www.kongregate.com/games/Mousecity_Apps/faraway-puzzle-escape,www.kongregate.com/games/mousecity_apps/faraway-puzzle-escape,,,10,8,2,0,4,3,metrics_json,2026-07-03T14:23:58Z
recovered_count,,Fashion Expert,http://www.kongregate.com/games/games2girls/fashion-expert,www.kongregate.com/games/games2girls/fashion-expert,,,40,24,6,0,9,3,chat_achievements;chat_js;developer_game_list;holodeck;metrics_json,2026-07-02T11:14:53Z
no_archived_endpoint_rows_observed,,Fashionistas Boho vs Grunge,http://www.kongregate.com/games/IdeaStudio/fashionistas-boho-vs-grunge,www.kongregate.com/games/ideastudio/fashionistas-boho-vs-grunge,,,4,0,2,0,0,0,metrics_json,2026-07-03T22:17:34Z
no_archived_endpoint_rows_observed,,Fast and Chairious BETA,http://www.kongregate.com/games/HectorFV/fast-and-chairious-beta,www.kongregate.com/games/hectorfv/fast-and-chairious-beta,,,2,0,0,0,0,0,metrics_json,2026-07-03T19:21:14Z
no_archived_endpoint_rows_observed,,Fastest Lap,http://www.kongregate.com/games/gamer70008000/fastest-lap,www.kongregate.com/games/gamer70008000/fastest-lap,,,2,0,0,0,0,0,metrics_json,2026-07-03T18:48:58Z
no_archived_endpoint_rows_observed,,Faw Truck,http://www.kongregate.com/games/newgamess/faw-truck,www.kongregate.com/games/newgamess/faw-truck,,,2,0,0,0,0,0,metrics_json,2026-07-03T22:52:47Z
recovered_count,,Feed The D (Christian-Friendly),http://www.kongregate.com/games/AnAlt_Ver3/feed-the-d-christian-friendly,www.kongregate.com/games/analt_ver3/feed-the-d-christian-friendly,,,6,4,2,0,4,2,metrics_json,2026-07-03T20:42:46Z
no_archived_endpoint_rows_observed,,Feed the Spider,http://www.kongregate.com/games/nunesbarbosa/feed-the-spider,www.kongregate.com/games/nunesbarbosa/feed-the-spider,,,2,0,0,0,0,0,metrics_json,2026-07-03T21:32:57Z
no_archived_endpoint_rows_observed,,Fighting Corner,http://www.kongregate.com/games/minininja956/fighting-corner,www.kongregate.com/games/minininja956/fighting-corner,,,2,0,0,0,0,0,metrics_json,2026-07-03T22:15:03Z
no_archived_endpoint_rows_observed,,Filler Snake,http://www.kongregate.com/games/eurocrem/filler-snake,www.kongregate.com/games/eurocrem/filler-snake,,,2,0,0,0,0,0,metrics_json,2026-07-03T18:38:21Z
no_archived_endpoint_rows_observed,,Find The Gift For Best Friend,http://www.kongregate.com/games/Enagamess/find-the-gift-for-best-friend,www.kongregate.com/games/enagamess/find-the-gift-for-best-friend,,,2,0,0,0,0,0,metrics_json,2026-07-03T22:40:54Z
no_archived_endpoint_rows_observed,,Find The Super Surf Board,http://www.kongregate.com/games/Enagamess/find-the-super-surf-board,www.kongregate.com/games/enagamess/find-the-super-surf-board,,,2,0,0,0,0,0,metrics_json,2026-07-03T22:15:03Z
no_archived_endpoint_rows_observed,,First Person In Real Life 4,http://www.kongregate.com/games/lisanti/first-person-in-real-life-4,www.kongregate.com/games/lisanti/first-person-in-real-life-4,,,5,0,2,0,0,0,metrics_json,2026-07-03T21:20:16Z
no_archived_endpoint_rows_observed,,Fishy Uprising,http://www.kongregate.com/games/AngrySnorlax/fishy-uprising,www.kongregate.com/games/angrysnorlax/fishy-uprising,,,4,0,2,0,0,0,metrics_json,2026-07-03T21:19:11Z
no_archived_endpoint_rows_observed,,Fix Your Sports Car,http://www.kongregate.com/games/gamolition/fix-your-sports-car,www.kongregate.com/games/gamolition/fix-your-sports-car,,,2,0,0,0,0,0,metrics_json,2026-07-03T21:46:14Z
no_archived_endpoint_rows_observed,,Flappy Bird Mobile,http://www.kongregate.com/games/Foizur197/flappy-bird-mobile,www.kongregate.com/games/foizur197/flappy-bird-mobile,,,4,0,2,0,0,0,metrics_json,2026-07-03T23:09:46Z
no_archived_endpoint_rows_observed,,flappyturkey,http://www.kongregate.com/games/gameallblack/flappyturkey,www.kongregate.com/games/gameallblack/flappyturkey,,,2,0,0,0,0,0,metrics_json,2026-07-03T20:15:07Z
archived_endpoint_hit_no_count,,Flash Animate,http://www.kongregate.com/games/PulisProgramming/flash-animate,www.kongregate.com/games/pulisprogramming/flash-animate,,,4,2,2,0,0,0,metrics_json,2026-07-03T23:08:57Z
no_archived_endpoint_rows_observed,,Flash vs Arrow vs Supergirl,http://www.kongregate.com/games/neal867/flash-vs-arrow-vs-supergirl,www.kongregate.com/games/neal867/flash-vs-arrow-vs-supergirl,,,5,0,2,0,0,0,metrics_json,2026-07-03T20:42:46Z
recovered_count,,Fleeing the Complex,https://www.kongregate.com/games/Puffballs_United/fleeing-the-complex,www.kongregate.com/games/puffballs_united/fleeing-the-complex,,,77,53,16,0,2,2,chat_achievements;chat_js;holodeck;metrics_json;recommended_games,2026-07-03T16:38:22Z
no_archived_endpoint_rows_observed,,Flieger,http://www.kongregate.com/games/born2drill/flieger,www.kongregate.com/games/born2drill/flieger,,,4,0,2,0,0,0,metrics_json,2026-07-03T20:41:30Z
no_archived_endpoint_rows_observed,,Flight Of The Bee,http://www.kongregate.com/games/ggfdev/flight-of-the-bee,www.kongregate.com/games/ggfdev/flight-of-the-bee,,,4,0,2,0,0,0,metrics_json,2026-07-03T22:31:06Z
no_archived_endpoint_rows_observed,,Floof V1.00,http://www.kongregate.com/games/sega42596/floof-v1-00,www.kongregate.com/games/sega42596/floof-v1-00,,,4,0,1,0,0,0,metrics_json,2026-07-03T18:49:43Z
no_archived_endpoint_rows_observed,,Flying Castle,http://www.kongregate.com/games/som911/flying-castle,www.kongregate.com/games/som911/flying-castle,,,2,0,0,0,0,0,metrics_json,2026-07-03T22:52:47Z
no_archived_endpoint_rows_observed,,Foempies,http://www.kongregate.com/games/Udder/foempies,www.kongregate.com/games/udder/foempies,,,4,0,2,0,0,0,metrics_json,2026-07-03T21:34:27Z
no_archived_endpoint_rows_observed,,Following Zombie (horror),http://www.kongregate.com/games/sandrudarius/following-zombie-horror,www.kongregate.com/games/sandrudarius/following-zombie-horror,,,5,0,2,0,0,0,metrics_json,2026-07-03T21:20:16Z
no_archived_endpoint_rows_observed,,Football2016,http://www.kongregate.com/games/ProAssasinXD/football2016,www.kongregate.com/games/proassasinxd/football2016,,,4,0,2,0,0,0,metrics_json,2026-07-03T18:58:15Z
no_archived_endpoint_rows_observed,,Footie Fight,https://www.kongregate.com/games/oogzyent/footie-fight,www.kongregate.com/games/oogzyent/footie-fight,,,13,0,1,0,0,0,metrics_json,2026-07-03T09:46:45Z
no_archived_endpoint_rows_observed,,For USA,http://www.kongregate.com/games/yasdar/for-usa,www.kongregate.com/games/yasdar/for-usa,,,2,0,0,0,0,0,metrics_json,2026-07-03T19:09:58Z
no_archived_endpoint_rows_observed,,Forbidden Trace - The Cliffs,http://www.kongregate.com/games/NoFateNet/forbidden-trace-the-cliffs,www.kongregate.com/games/nofatenet/forbidden-trace-the-cliffs,,,4,0,2,0,0,0,metrics_json,2026-07-03T20:53:57Z
no_archived_endpoint_rows_observed,,Forgotten,http://www.kongregate.com/games/TheNoob20/forgotten,www.kongregate.com/games/thenoob20/forgotten,,,4,0,2,0,0,0,metrics_json,2026-07-03T22:43:38Z
no_archived_endpoint_rows_observed,,Fox Runner Adventures,http://www.kongregate.com/games/tedsanders11/fox-runner-adventures,www.kongregate.com/games/tedsanders11/fox-runner-adventures,,,4,0,2,0,0,0,metrics_json,2026-07-03T21:34:27Z
no_archived_endpoint_rows_observed,,Foxes and Eagles,http://www.kongregate.com/games/kamilsk/foxes-and-eagles,www.kongregate.com/games/kamilsk/foxes-and-eagles,,,4,0,2,0,0,0,metrics_json,2026-07-03T22:03:37Z
no_archived_endpoint_rows_observed,,FPSnake,http://www.kongregate.com/games/PacoSwifty/fpsnake,www.kongregate.com/games/pacoswifty/fpsnake,,,4,0,2,0,0,0,metrics_json,2026-07-03T18:49:43Z
no_archived_endpoint_rows_observed,,Fractals [kinda math stuff?],http://www.kongregate.com/games/laspinko/fractals-kinda-math-stuff,www.kongregate.com/games/laspinko/fractals-kinda-math-stuff,,,2,0,0,0,0,0,metrics_json,2026-07-03T20:52:39Z
no_archived_endpoint_rows_observed,,Freaky Math 1+1,http://www.kongregate.com/games/GeosMedia/freaky-math-1-1,www.kongregate.com/games/geosmedia/freaky-math-1-1,,,2,0,0,0,0,0,metrics_json,2026-07-03T22:40:54Z
no_archived_endpoint_rows_observed,,Freeze Tag,http://www.kongregate.com/games/codenforjesus/freeze-tag,www.kongregate.com/games/codenforjesus/freeze-tag,,,2,0,0,0,0,0,metrics_json,2026-07-03T12:30:15Z
no_archived_endpoint_rows_observed,,Frip and Froop's Logical Labyrinth,http://www.kongregate.com/games/OtterTeej/frip-and-froops-logical-labyrinth,www.kongregate.com/games/otterteej/frip-and-froops-logical-labyrinth,,,4,0,2,0,0,0,metrics_json,2026-07-03T19:33:29Z
no_archived_endpoint_rows_observed,,Frodo's Journey Rol Trivial,http://www.kongregate.com/games/jovijano/frodos-journey-rol-trivial,www.kongregate.com/games/jovijano/frodos-journey-rol-trivial,,,4,0,2,0,0,0,metrics_json,2026-07-03T23:20:11Z
no_archived_endpoint_rows_observed,,Fruit Frenzy,http://www.kongregate.com/games/TreSensa/fruit-frenzy,www.kongregate.com/games/tresensa/fruit-frenzy,,,2,0,0,0,0,0,metrics_json,2026-07-03T18:38:21Z
no_archived_endpoint_rows_observed,,Fruit Smash Beta,http://www.kongregate.com/games/2bsocial/fruit-smash-beta,www.kongregate.com/games/2bsocial/fruit-smash-beta,,,2,0,0,0,0,0,metrics_json,2026-07-03T20:27:33Z
no_archived_endpoint_rows_observed,,Fun to Boot,http://www.kongregate.com/games/PlexusPuzzles/fun-to-boot,www.kongregate.com/games/plexuspuzzles/fun-to-boot,,,4,0,2,0,0,0,metrics_json,2026-07-03T20:29:13Z
no_archived_endpoint_rows_observed,,FunBox,http://www.kongregate.com/games/Pio6/funbox,www.kongregate.com/games/pio6/funbox,,,2,0,0,0,0,0,metrics_json,2026-07-03T19:09:58Z
no_archived_endpoint_rows_observed,,Funny Pets,http://www.kongregate.com/games/ggfdev/funny-pets,www.kongregate.com/games/ggfdev/funny-pets,,,2,0,0,0,0,0,metrics_json,2026-07-03T18:27:37Z
no_archived_endpoint_rows_observed,,FWG Flight,http://www.kongregate.com/games/FreeWorldGroup/fwg-flight,www.kongregate.com/games/freeworldgroup/fwg-flight,,,4,0,2,0,0,0,metrics_json,2026-07-03T21:35:23Z
no_archived_endpoint_rows_observed,,Galactic Gravity Golf,http://www.kongregate.com/games/Armegalo/galactic-gravity-golf,www.kongregate.com/games/armegalo/galactic-gravity-golf,,,2,0,0,0,0,0,metrics_json,2026-07-03T17:53:29Z
no_archived_endpoint_rows_observed,,Galactic Gravity Golf Deluxe,http://www.kongregate.com/games/Armegalo/galactic-gravity-golf-deluxe,www.kongregate.com/games/armegalo/galactic-gravity-golf-deluxe,,,2,0,0,0,0,0,metrics_json,2026-07-03T17:53:29Z
no_archived_endpoint_rows_observed,,Game of Bombs,http://www.kongregate.com/games/popelyshev/game-of-bombs,www.kongregate.com/games/popelyshev/game-of-bombs,,,4,0,2,0,0,0,metrics_json,2026-07-03T21:08:19Z
